output,SoloDemand
305.6662002,50
330.3088059,50
358.6883047,50
386.3222292,50
469.7161733,50
471.4762328,50
454.08347,50
479.7556982,50
525.4712798,50
547.4725514,50
389.9334035,50
350.203743,50
366.3271403,50
432.5027248,50
481.1567104,50
594.2604134,50
760.9016121,50
832.8736365,50
886.7735884,50
886.7735884,50
889.1135884,50
889.1135884,50
807.2960832,50
889.1135884,50
888.9335884,50
889.1135884,50
889.1135884,50
889.1135884,50
886.7735884,50
881.0963202,50
832.3414489,50
846.348883,50
737.524546,50
682.1194053,50
620.0741508,50
552.3558936,50
601.5639066,50
593.5057903,50
504.6867018,50
398.9430092,50
254.6345955,50
209.1388682,50
171.5015776,50
163.5497463,50
146.833326,50
108.7840147,50
123.999727,50
125.0519581,50
128.4393489,50
146.1267892,50
135.8112066,50
105.4773854,50
98.66268476,50
89.67853569,50
95.30643562,50
83.98012749,50
90.69327976,50
104.7974722,50
130.0973049,50
117.3766976,50
169.9198285,50
162.4434597,50
140.3885716,50
98.00961218,50
91.75259265,50
63.15228862,50
46.82997577,50
47.64795516,50
63.99895316,50
59.08594323,50
86.46955716,50
50.79304854,50
36.20741811,50
43.33065238,50
58.55417253,50
87.24230245,50
139.4569682,50
188.6597766,50
194.4576816,50
159.0845556,50
154.1296681,50
165.6973985,50
254.9631423,50
264.3933996,50
297.1072722,50
296.0405536,50
257.763024,50
241.6558996,50
238.1000558,50
184.0765952,50
150.8053751,50
188.3450802,50
173.3908133,50
149.377371,50
189.6436358,50
189.6436358,50
234.1808205,50
323.2465076,50
385.6108902,50
406.9622618,50
452.1056552,50
552.4993813,50
548.7352734,50
527.9124755,50
476.6590791,50
444.5008725,50
502.0880755,50
394.6799068,50
428.2603183,50
415.4647332,50
372.4153564,50
371.7056011,50
296.8141768,50
270.5057122,50
259.0993325,50
236.1316826,50
236.1316826,50
235.9568781,50
215.2120407,50
178.6216461,50
223.2343168,50
246.4440051,50
231.7498238,50
175.4866538,50
123.4397749,50
113.6454613,50
114.1437039,50
88.91997917,50
63.15228862,50
51.95500754,50
55.24358256,50
63.0625147,50
46.71481688,50
52.5177452,50
48.18060941,50
29.61639581,50
2.58,50
2.58,50
2.58,50
15.73480809,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
14.8572062,50
26.76390165,50
39.01124879,50
50.54778273,50
70.02970335,50
98.35869669,50
118.7593589,50
196.7542607,50
314.3749309,50
