date,RE,demand,%ofdem,price,PPprod
2030-11-06 10:00:00+01:00,18.197453501731918,19.5199,93.22513692043462,56.77486307956538,1.3224464982680821
2030-11-06 11:00:00+01:00,14.81585230354311,19.373849999999997,76.47345418459992,73.52654581540008,4.557997696456887
2030-11-06 12:00:00+01:00,14.547803115382074,19.17827,75.85565911514476,74.14434088485524,4.6304668846179275
2030-11-06 13:00:00+01:00,8.940424033642383,19.46529,45.930083927043384,104.06991607295662,10.524865966357616
2030-11-06 14:00:00+01:00,9.408943126189692,19.51863,48.204936136346106,101.7950638636539,10.10968687381031
2030-11-06 15:00:00+01:00,4.851128504461767,19.89455,24.384208260361593,125.61579173963841,15.043421495538233
2030-11-06 16:00:00+01:00,0.8996935527195535,20.47494,4.394120582133835,145.60587941786616,19.575246447280445
2030-11-06 17:00:00+01:00,0.5895334231703977,21.847810000000003,2.698363923754361,147.30163607624564,21.258276576829605
2030-11-06 18:00:00+01:00,0.9880972819998324,21.32584,4.633333467754763,145.36666653224523,20.337742718000168
2030-11-06 19:00:00+01:00,1.6178684349657322,20.6502,7.834638091,142.1653619094937,19.03233156503427
2030-11-06 20:00:00+01:00,3.181146527081516,19.50085,16.312860860329245,133.68713913967076,16.319703472918484
2030-11-06 21:00:00+01:00,5.627345325815226,18.242279999999997,30.84781795814573,119.15218204185427,12.61493467418477
2030-11-06 22:00:00+01:00,9.106935601012514,16.82496,54.12753196,95.87246804,7.718024398987486
2030-11-06 23:00:00+01:00,14.38346381441127,15.524479999999999,92.65021317565079,57.349786824349216,1.1410161855887289
2030-11-07 00:00:00+01:00,15.425181582767234,14.47927,106.53286790540707,46.88869340281363,0
2030-11-07 01:00:00+01:00,15.727342768711322,13.80109,113.95725097591077,43.66414043730468,0
2030-11-07 02:00:00+01:00,15.827246480632093,13.448030000000001,117.69193317260662,42.174245387005975,0
2030-11-07 03:00:00+01:00,16.445308980006676,13.40231,122.7050335353135,39.99092201194038,0
2030-11-07 04:00:00+01:00,16.297334253043275,13.517880000000002,120.56131769954514,40.857777289529984,0
2030-11-07 05:00:00+01:00,17.003989086048726,14.20495,119.70467397666818,40.79335856240498,0
